id,name
TNR,TNR
TRAIN RAPIDE,TRAIN RAPIDE
TL,TL
RGV,AL BORAQ
Au,Au
FT,FES-TAZA
CB,CASA PORT- BOUSKOURA
RS,FLASH
RS,TL RABAT AGDAL-SALE TABRIQUET
RK,TL RABAT-KENITRA
RK,TNR RABAT-KENITRA
SJ,SETTAT/EL JADIDA
Promo,Promo
HP,HAUTE PRESTATION
TC,TC
EJ,EL JADIDA
AE,AEROPORT
COV,COV
KT,CT
KF,KF
Spécial,Spécial
PR,PR
RMC,RMC
RMT,RMT
OUED ZEM,OUED ZEM
ELJADIDA,ELJADIDA
